label,code,abbreviation,has_parent_category
Fixed gillnets (on stakes),07.4.0 [start: 1980-01-01T00:00:00Z] [end: 2016-01-01T00:00:00Z]; 07.4 [start: 2016-01-01T00:00:00Z],GNF,07; 07.0.0
Trammel nets,07.5.0 [start: 1980-01-01T00:00:00Z] [end: 2016-01-01T00:00:00Z]; 07.5 [start: 2016-01-01T00:00:00Z],GTR,07; 07.0.0
Combined gillnets-trammel nets,07.6.0 [start: 1980-01-01T00:00:00Z] [end: 2016-01-01T00:00:00Z]; 07.6 [start: 2016-01-01T00:00:00Z],GTN,07; 07.0.0
Gillnets and entangling nets (NEI),07.9.0 [start: 1980-01-01T00:00:00Z] [end: 2016-01-01T00:00:00Z]; 07.9 [start: 2016-01-01T00:00:00Z],GEN,07; 07.0.0
Traps,08.0.0 [start: 1980-01-01T00:00:00Z] [end: 2016-01-01T00:00:00Z]; 08 [start: 2016-01-01T00:00:00Z],,
Stationary uncovered pound nets,08.1.0 [start: 1980-01-01T00:00:00Z] [end: 2016-01-01T00:00:00Z]; 08.1 [start: 2016-01-01T00:00:00Z],FPN,08; 08.0.0
Pots,08.2.0 [start: 1980-01-01T00:00:00Z] [end: 2016-01-01T00:00:00Z]; 08.2 [start: 2016-01-01T00:00:00Z],FPO,08; 08.0.0
Fyke nets,08.3.0 [start: 1980-01-01T00:00:00Z] [end: 2016-01-01T00:00:00Z]; 08.3 [start: 2016-01-01T00:00:00Z],FYK,08; 08.0.0
Stow nets,08.4.0 [start: 1980-01-01T00:00:00Z] [end: 2016-01-01T00:00:00Z]; 08.4 [start: 2016-01-01T00:00:00Z],FSN,08; 08.0.0
"Barriers, fences, weirs, etc.",08.5.0 [start: 1980-01-01T00:00:00Z] [end: 2016-01-01T00:00:00Z]; 08.5 [start: 2016-01-01T00:00:00Z],FWR,08; 08.0.0
Aerial traps,08.6.0 [start: 1980-01-01T00:00:00Z] [end: 2016-01-01T00:00:00Z]; 08.6 [start: 2016-01-01T00:00:00Z],FAR,08; 08.0.0
Traps (NEI),08.9.0 [start: 1980-01-01T00:00:00Z] [end: 2016-01-01T00:00:00Z]; 08.9 [start: 2016-01-01T00:00:00Z],FIX,08; 08.0.0
Hooks and Lines,09.0.0 [start: 1980-01-01T00:00:00Z] [end: 2016-01-01T00:00:00Z]; 09 [start: 2016-01-01T00:00:00Z],,
