Label_en;Label_es;P2:string;P29:string;P76:string;P39:wikibase-item;P50:wikibase-item;P48:globe-coordinate
Port of San Cristóbal;Puerto de San Cristóbal;San Cristóbal;;;Q70;Q255;28.075789,-15.413972,0.000001
Port of Mogán;Puerto de Mogán;Mogán,,Mogan;;;Q70;Q255;27.816216,-15.764522,0.000001
Port of La Aldea;Puerto de La Aldea;La Aldea,,La Aldea de San Nicolás;ESADA;;Q70;Q255;28.006120,-15.818135,0.000001
Port of Castillo del Romeral;Puerto de Castillo del Romeral;Castillo del Romeral;;;Q70;Q255;27.795359,-15.463426,0.000001
Port of Arguineguín;Puerto de Arguineguín;Arguineguín;ESARI;;Q70;Q255;27.757093,-15.684431,0.000001
Port of Agaete;Puerto de Agaete;Agaete;;;Q70;Q255;28,100726,-15.711800,0.000001
Port of Puerto del Rosario;Puerto de Puerto del Rosario;Puerto del Rosario;ESPRO;Administración General del Estado;Q70;Q256;28.498407,-13.856657,0.000001
Port of Morro Jable;Pouerto de Morro Jable;Morro Jable;ESCUT;;Q70;Q256;28.048938,-14.360171,0.000001
Port of Gran Tarajal;Puerto de Gran Tarajal;Gran Tarajal;ESGTL;;Q70;Q256;28.208118,-14.025275,0.000001
Port of El Cotillo;Puerto del Cotillo;El Cotillo;;;Q70;Q256;28.681282,-14.012339,0.000001
Port of Corralejo;Puerto de Corralejo;Corralejo;ESQFU;;Q70;Q256;28.739960,-13.862848,0.000001
Port of Arrecife;Puerto de Arrecife,,Naos;Arrecife,,Naos,, Arrecife de Lanzarote;ESACE;Administración General del Estado;Q70;Q257;28.962705,-13.541909,0.000001
Port of Puerto del Carmen;Puerto de Puerto del Carmen;Puerto del Carmen;ESPUC;;Q70;Q257;28.921178,-13.674411,0.000001
Port of Playa Blanca;Puerto de Playa Blanca;Playa Blanca;ESQLY;;Q70;Q257;28.859915,-13.833298,0.000001
Port of Orzola;Puerto de Orzola;Orzola,,Órzola;ESOZL;Cabildo o Consell Insular;Q70;Q257;29.223231,-13.451195,0.000001
Port of Caleta del Sebo, La Graciosa;Puerto de Caleta del Sebo, La Graciosa;Caleta del Sebo,,La Graciosa,, Caleta del Sebo, La Graciosa;ESCHR;;Q70;Q257;29.228769,-13.502054,0.000001
Port of Blanes;Puerto de Blanes;Blanes;ESBLA;Comunidad Autónoma;Q70;Q258;41.674157,2.800497,0.000001
Port of Malgrat;Puerto de Malgrat;Malgrat,,Malgrat de Mar;;;Q70;Q258;41.674157,2.800497,0.000001
Port of Lloret de Mar;Puerto de Lloret de Mar;Lloret de Mar;;;Q70;Q258;41.703442,2.880698,0.000001
Port of Palamós;Puerto de Palamós;Palamós,,Palamos;ESPAL;Comunidad Autónoma;Q70;Q259;41.844535,3.126005,0.000001
Port of Tossa de Mar;Puerto de Tossa de Mar;Tossa de Mar;;;Q70;Q259;41.721467,2.937816,0.000001
Port of San Feliu De Guixols;Puerto de San Feliu De Guixols;San Feliu De Guixols;ESSFU;Comunidad Autónoma;Q70;Q259;41.779595,3.036938,0.000001
Port of La Escala;Puerto de La Escala;La Escala;;;Q70;Q259;42.117508,3.147865,0.000001
Port of Estartit;Puerto de Estartit;Estartit;;;Q70;Q259;42.052796,3.203944,0.000001
Port of Cadaques;Puerto de Cadaques;Cadaques,,Cadaqués;;;Q70;Q260;42.287958,3.278523,0.000001
Port of Rosas;Puerto de Rosas;Rosas;ESROS;Comunidad Autónoma;Q70;Q260;42.255314,3.179258,0.000001
Port of Llansa;Puerto de Llansa;Llansa;ESLLC;Comunidad Autónoma;Q70;Q260;42.372465,3.162578,0.000001
Port of Puerto de la Selva;Puerto de Puerto de la Selva;Puerto de la Selva,,Port de la Selva;ESPSA;Comunidad Autónoma;Q70;Q260;42.338939,3.202319,0.000001
Port of Fuenterrabía;Puerto de Fuenterrabía,Hondarribia;Fuenterrabia,,Fuenterrabía,,Hondarribia;ESHON;Autoridad Portuaria;Q70;Q261;43.386504,-1.79049,0.000001
Port of Ondarroa;Puerto de Ondarroa;Ondarroa;ESOND;Autoridad Portuaria;Q70;Q208;43.324431,-2.421040,0.000001
Port of Motrico;Puerto de Motrico;Motrico;ESMTU;Autoridad Portuaria;Q70;Q261;43.308098,-2.382005,0.000001
Port of Pasajes;Puerto de Pasajes;Pasajes;ESPAS;Administración General del Estado;Q70;Q262;43.322191,-1.915266,0.000001
Port of San Sebastián;Puerto de San Sebastián;San Sebastián;ESEAS;Comunidad Autónoma;Q70;Q262;43.322718,-1.990180,0.000001
Port of Orio;Puerto de Orio;Orio;ESORI;Autoridad Portuaria;Q70;Q262;43.288554,-2.130526,0.000001
Port of Deba;Puerto de Deba;Deba;;;Q70;Q262;43.293904,-2.356259,0.000001
Port of Guetaria;Puerto de Guetaria;Guetaria;ESGET;Autoridad Portuaria;Q70;Q263;43.305900,-2.198898,0.000001
Port of Zarauz;Puerto de Zarauz;Zarauz;;;Q70;Q263;43.290097,-2.178817,0.000001
Port of Zumaya;Puerto de Zumaya;Zumaya;ESZMY;Autoridad Portuaria;Q70;Q262;43.297601,-2.253249,0.000001
Port of Sanlúcar de Barrameda;Puerto de Sanlúcar,,Bonanza;Sanlúcar,,Bonanza;;;Q70;Q264;36.803303,-6.337557,0.000001
Port of Sevilla;Puerto de Sevilla;Sevilla;;;Q70;Q265;37.360615,-5.993027,0.000001
Port of San Carlos de la Rápita;Puerto de San Carlos de la Rápita;San Carlos de la Rápita,,Rápita,,Rapita;;;Q70;Q266;40.616397,0.601156,0.000001
Port of Casas de Alcanar;Puerto de Casas de Alcanar;Casas de Alcanar,,Las Casas de Alcanar;;Comunidad Autónoma;Q70;Q266;40.551709,0.531709,0.000001
Port of Tarragona;Puerto de Tarragona;Tarragona;ESTAR;Administración General del Estado;Q70;Q267;41.107343,1.240603,0.000001
Port of Torredembarra;Puerto de Torredembarra;Torredembarra;ESTRR;Comunidad Autónoma;Q70;Q267;41.135170,1.403090,0.000001
Port of La Ametlla De Mar;Puerto de La Ametlla De Mar;La Ametlla De Mar;;Comunidad Autónoma;Q70;Q267;40.881918,0.802494,0.000001
Port of Tortosa;Puerto de Tortosa;Tortosa;;;Q70;Q267;40.807885,0.517151,0.000001
Port of Deltebre;Puerto de Deltebre;Deltebre;;;Q70;Q267;40.711321,0.735779,0.000001
Port of Cambrils;Puerto de Cambrils;Cambrils;ESCBL;Comunidad Autónoma;Q70;Q267;41.063748,1.061859,0.000001
Puerto de Calafell;Puerto de Calafell;Calafell;;;Q70;Q267;41.188834,1.607234,0.000001
Port of Ampolla;Puerto de Ampolla;Ampolla,,La Ampolla;;Comunidad Autónoma;Q70;Q267;40.810559,0,710923,0.000001
Port of Santa Cruz de Tenerife;Puerto de Santa Cruz de Tenerife;Santa Cruz de Tenerife;;Comunidad Autónoma;Q70;Q268;28.496982,-16.206268,0.000001
Port of Valle Guerra;Puerto de Valle Guerra;Valle Guerra;;;Q70;Q268;28.537750,-16.397705,0.000001
Port of San Miguel de Tajao;Puerto de San Miguel de Tajao;San Miguel de Tajao,,Tajao;;;Q70;Q268;28.108888,-16.469593,0.000001
Port of San Andrés;Puerto de San Andrés;San Andrés;;;Q70;Q268;28.498058,-16.203141,0.000001
Port of Punta Hidalgo;Puerto de Punta Hidalgo;Punta Hidalgo;;;Q70;Q268;28.564509,-16.332409,0.000001
Port of Puerto Santiago;Puerto de Puerto Santiago;Puerto Santiago,,Puerto de los Gigantes;;;Q70;Q268;28.247757,-16.842712,0.000001
Port of Puerto de la Cruz;Puerto de Puerto de la Cruz;Puerto de la Cruz,,El Penitente;;;Q70;Q268;28.418782,-16.550367,0.000001
Port of Playa San Marcos;Puerto de Playa San Marcos;Playa San Marcos,,San Marcos;;;Q70;Q268;28.378895,-16.724877,0.000001
Port of Playa San Juan;Puerto de Playa San Juan;Playa San Juan - Guia Isora,,Playa San Juan;ESPSJ;;Q70;Q268;28.179595,-16.814704,0.000001
Port of Los Silos;Puerto de Los Silos;Los Silos;;;Q70;Q268;28.378623,-16.812839,0.000001
